,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
2393,Balmer Lawrie,447,3.6,1.8k,35,30,37
2394,Karvy Data Management,446,3.3,826,2,--,--
2395,Bharat Seats,446,3.7,1.6k,32,5,38
2396,Synopsys,446,3.7,3.7k,105,89,44
2397,Clix Capital Services,446,4.0,1.5k,28,45,19
2398,Kaynes Technology,448,3.3,1.6k,51,3,34
2399,Dow Chemical International Private Limited,446,3.6,2.1k,38,52,38
2400,Toyota,445,4.2,1.8k,49,--,50
2401,Yusen Logistics,445,4.0,1.7k,16,7,34
2402,Paper Boat(Hector Beverages Pvt. Ltd.),445,3.9,1.3k,22,2,32
2403,Kaya Skin Clinic,445,3.5,1.2k,23,21,42
2404,Eurokids,445,4.0,1.3k,17,1,36
2405,Corona Remedies,445,4.2,1.4k,13,--,29
2406,Reliance Infrastructure,444,4.1,2k,30,--,61
2407,AIRBUS,444,3.6,4.5k,77,1,40
2408,SMEC,444,3.6,1.4k,30,36,43
2409,Ciena,444,4.0,3.2k,45,--,53
2410,GS Lab,444,3.7,3.5k,64,--,36
2411,In Time Tec Visionsoft,444,3.4,2.4k,47,23,69
2412,Purplle.com,444,3.6,1.9k,35,98,24
2413,T.v. Sundram Iyengar & Sons,443,3.9,1.1k,10,--,49
2414,Grant Thornton Bharat,443,3.5,2.4k,86,7,17
2415,NR Switch N Radio Services,443,3.8,1.1k,22,12,33
2416,BSCPL Infrastructure,443,3.9,1.3k,31,12,47
2417,TresVista,443,2.4,3k,134,37,13
2418,AVAYA,442,3.2,2.9k,46,1,41
2419,Espire Infolabs,442,2.5,2.5k,27,21,24
2420,Honour Lab,442,3.9,1.8k,25,--,22
2421,Caresoft Global,442,3.4,3.3k,51,--,43
2422,Titagarh Rail Systems,443,2.8,1.7k,35,--,11
2423,SPAR Hypermarkets,442,3.9,1.3k,24,--,41
2424,CodeClouds,442,4.0,1.2k,56,39,124
2425,Majesco,441,3.0,3.2k,33,16,48
2426,Gokaldas Exports,441,3.8,1.7k,37,15,21
2427,Gaurs Group,441,4.2,1.5k,30,15,23
2428,Pocket FM,442,2.7,1.8k,66,11,5
2429,DB Power Limited,441,4.7,744,64,--,26
2430,Ashapura Group Of Industries,441,4.1,1.8k,30,8,43
2431,NetApp,440,3.7,4.1k,76,16,35
2432,FabHotels,440,3.2,2k,45,60,24
2433,Fuji Electric,440,3.6,1.8k,21,8,14
2434,Head Field Solutions,440,4.1,1.3k,66,3,21
2435,ELGI Equipments,439,4.1,2k,27,3,48
2436,Infovision,439,3.5,3.9k,42,88,3
2437,Speridian Technologies,439,3.3,3.2k,51,14,21
2438,Brembo Brake India,439,4.1,1.6k,21,--,36
2439,Kataria Automobiles,439,3.6,1.5k,19,7,34
2440,Ergode IT Services,438,3.3,1.4k,28,54,58
2441,NTPC GE Power Services,438,3.9,1.5k,54,4,24
2442,Rapido,438,3.5,2.3k,42,34,30
2443,Infosys Consulting,437,3.4,3.8k,179,--,65
2444,Go Colors,437,3.9,973,13,--,7
2445,H & R Johnson,437,3.4,1.2k,10,--,41
2446,LT Foods,437,3.9,1.6k,23,--,41
2447,Self Practice,437,4.4,6k,69,--,22
2448,Birla White,437,4.1,1.2k,38,--,33
2449,SABIC,436,4.1,1.5k,31,2,51
2450,DesignTech Systems,437,3.4,2k,44,21,29
2451,Nagarjuna Fertilizers and Chemicals,436,4.1,1.2k,19,--,54
2452,Nuvama Wealth and Investment,437,3.3,2.3k,18,12,7
2453,Confidence Petroleum India,436,3.0,1.7k,32,24,13
2454,K D Hospital,436,4.5,347,22,23,6
2455,Montecarlo Construction,436,4.1,1.3k,50,--,44
2456,Transasia Bio-Medicals,435,3.3,1.7k,22,1,31
2457,Flipkart Health+,435,3.5,1.6k,29,--,31
2458,Orion Innovation,435,3.4,3.6k,46,--,13
2459,PULSUS HealthTech Group,435,3.2,1.3k,35,15,36
2460,Mjunction Services,435,3.9,1.8k,26,1,42
2461,Zscaler Softech,435,3.3,3k,83,95,34
2462,Indian Immunologicals,436,4.2,1.7k,23,--,47
2463,Aker Solutions,434,4.0,2.2k,36,6,41
2464,Allegis Group,434,3.5,2.7k,24,--,42
2465,IL&FS Engineering and Construction,434,4.5,945,16,6,57
2466,Alankit,434,3.2,1.3k,47,24,21
2467,Knack RCM,433,3.1,1.7k,51,12,18
2468,Bengal Beverages,433,3.1,1.4k,35,1,30
2469,SoftwareOne,433,3.7,3.6k,51,31,47
2470,Aptech,433,3.3,1.7k,29,--,45
2471,AQM Technologies,433,3.2,3.4k,53,14,20
2472,Ozone Overseas,432,3.9,1.4k,33,22,34
2473,Deluxe Entertainment,432,3.5,2.4k,38,14,38
2474,SBI Capital Markets,432,3.6,2.2k,23,--,17
2475,Kothari Agritech,433,4.2,706,47,5,8
2476,Neilsoft,432,3.1,2.9k,46,39,27
2477,Anunta Technology Management Services,432,3.4,2.2k,39,13,26
2478,ZTE Corporation,432,4.0,1.2k,21,2,68
2479,TruBridge Healthcare Private Limited,432,4.0,617,146,11,4
2480,Reshamandi,431,3.5,591,17,--,127
2481,Regency Hospital Ltd,431,4.1,1.4k,23,11,24
2482,GTL Infrastructure,431,4.1,887,14,--,47
2483,Falcon Autotech,431,3.9,1.8k,52,1,39
2484,Dee Piping System,430,4.1,1.6k,28,3,23
2485,IndusInd Capital,430,3.9,1.9k,20,1,75
2486,Mashreq Global Services,430,3.1,2.4k,29,104,33
2487,Freecharge,431,3.8,2.7k,64,47,17
2488,Powerweave,430,3.3,1.7k,28,1,34
2489,Rieter,430,3.5,2.3k,31,7,48
2490,Sunwoda Electronic India Pvt Ltd,431,3.9,1.9k,40,1,40
2491,Avalara Technologies,429,3.0,3.2k,76,73,25
2492,Tao Digital,430,3.6,1.3k,114,65,--
2493,360 Realtors,429,3.5,1.5k,36,--,47
2494,Midland Microfin Limited,429,3.5,902,35,--,14
2495,Tata Steel Downstream Products,430,3.7,1.4k,42,3,24
2496,Welspun Transformation Services Limited,429,3.9,766,47,--,9
2497,Polestar Analytics,429,4.1,1.2k,24,15,58
2498,Godrej Jersey,429,4.1,1.3k,25,--,2
2499,Cipla Health,429,4.1,1.4k,43,--,31
2500,Cimpress,428,3.8,2.9k,70,6,37
2501,Cipla Health,429,4.1,1.4k,43,--,31
2502,Konexions Back Office Services,428,2.7,1.6k,34,5,13
2503,Bhagwati Products,428,3.6,1.1k,20,--,33
2504,Ind-Swift Laboratories,427,3.9,1.6k,21,1,56
2505,Le Méridien,427,4.2,1.1k,22,--,63
2506,Paynearby Technologies,426,4.0,1.4k,27,--,23
2507,Infotact Solutions,426,4.4,50,97,--,5
2508,Meyer Organics,427,3.7,1.5k,29,18,35
2509,IIMI Image Management Private Limited,426,4.1,560,56,1,7
2510,ABCI Infrastructures,426,3.4,6.5k,73,7,54
2511,ARMSOFTECH.AIR,427,3.3,1.4k,29,--,54
2512,Rakuten Symphony,426,3.5,3.6k,42,9,12
2513,Ami Lifesciences,426,3.8,1.7k,21,--,22
2514,Chettinad Cements,426,3.9,1.9k,39,--,21
2515,Capital Foods,427,4.2,1.3k,32,--,57
2516,Mazagon Dock,425,4.2,1.2k,21,--,34
2517,Educomp Solutions,425,3.7,642,5,--,49
2518,Nexteer Automotive,425,3.8,2.6k,28,5,30
2519,The Indian Hotels Company,425,4.1,1.7k,29,--,39
2520,Mazagon Dock,425,4.2,1.2k,21,--,34
2521,The Indian Hotels Company,425,4.1,1.7k,29,--,39
2522,KLAY Preschool and Daycare,422,3.6,1.4k,45,269,43
2523,NOON.COM,424,3.3,2.6k,57,--,31
2524,CWT,424,3.4,1.4k,8,1,54
2525,Bada Business,424,3.6,1.6k,28,538,39
2526,Mungi Group,424,3.9,1.8k,24,--,34
2527,Honeywell International India,424,4.0,2.5k,39,--,50
2528,Flatworld Solutions,423,3.5,2.8k,31,21,40
2529,Intercontinental Exchange,423,3.1,2.6k,44,--,6
2530,Entrata,423,3.8,2.3k,42,10,50
2531,Sterling Tools,425,3.8,1.1k,45,1,31
2532,InfoBeans,422,3.3,3.6k,45,107,40
2533,Tata Steel Utilities and Infrastructure Services,422,3.6,1.2k,39,--,40
2534,Calsoft,422,2.7,3.7k,55,50,29
2535,Mahindra Lifespace Developers,422,4.1,1.7k,26,13,47
2536,Fossil Group,423,3.8,2.1k,34,16,32
2537,Theobroma Foods,421,3.9,1.3k,25,36,23
2538,Premium Transmission,421,3.4,1.9k,52,1,35
2539,Samsung C&T,422,4.2,1.3k,14,--,49
2540,Western Union,421,2.8,2.7k,39,8,40
2541,Tyger Capital,422,4.0,1.3k,29,21,23
2542,Vcare Trichology,421,3.6,1.8k,44,24,17
2543,Bonfiglioli Transmissions Limited,421,3.6,1.7k,36,--,34
2544,Talbros,421,3.8,1.7k,33,1,32
2545,Theobroma Foods,421,3.9,1.3k,25,36,23
2546,Premium Transmission,421,3.4,1.9k,52,1,35
2547,Tata BlueScope Steel,420,3.7,1.6k,32,1,33
2548,Medica Superspecialty Hospital,421,3.8,1.5k,20,102,48
2549,Ramada,420,3.9,1k,20,--,67
2550,Citykart Retail,420,3.7,972,26,4,28
2551,Zypp Electric,420,3.9,944,34,5,18
2552,Freyr Solutions,420,3.7,2.6k,32,2,20
2553,FM LOGISTIC,420,4.0,1.3k,31,7,12
2554,Dodsal Engineering & Construction,419,4.5,684,16,--,71
2555,National Organic Chemical Industries,419,3.8,1.8k,33,7,44
2556,Flipkart Wholesale,419,3.8,1k,69,--,25
2557,Chambal Fertilisers And Chemicals,419,3.8,1.5k,29,--,35
2558,OnePlus,419,3.6,1.9k,35,--,43
2559,Secure Value,418,3.3,920,20,--,23
2560,Ingersoll Rand,418,3.8,2.4k,37,26,38
2561,UNIVO Education,418,3.4,1.5k,35,3,3
2562,NIFTEL COMMUNICATIONS,418,3.8,717,90,11,8
2563,B.C. Jindal Group of Companies,418,3.9,1.1k,29,--,15
2564,Siyaram Silk Mills,418,4.0,1.5k,22,6,43
2565,Asian Granito India,417,3.6,1.5k,16,2,20
2566,RSWM Limited,418,4.1,1.2k,19,3,46
2567,Fitelo,417,3.3,721,48,--,71
2568,Adani Logistics,417,3.7,1.7k,16,--,12
2569,Eurofins It Solutions,417,3.0,3.4k,67,1,58
2570,Tally Solutions,416,4.0,2.3k,48,2,49
2571,Nous Infosystems,416,3.5,3.4k,49,24,37
2572,Aculife Healthcare,416,3.0,1.5k,33,7,31
2573,National Bulk Handling Corporation,416,4.1,1.1k,22,10,43
2574,Clean Harbors,416,3.4,2.6k,35,21,25
2575,Baramati Agro,416,3.8,1.5k,28,2,28
2576,Impact Guru,419,3.6,1.6k,50,62,7
2577,Spoton Logistics,415,4.4,1.1k,18,--,59
2578,Pole To Win,415,3.3,2k,61,2,44
2579,Tessolve,415,3.3,2.7k,61,100,15
2580,Spoton Logistics,415,4.4,1.1k,18,--,59
2581,Tessolve,415,3.3,2.7k,61,100,15
2582,Pole To Win,415,3.3,2k,61,2,44
2583,Arvind Fashions,415,3.9,1.8k,22,--,22
2584,Tagros Chemicals,415,3.6,1.8k,40,--,42
2585,Indian Political Action Committee,415,2.9,1.8k,50,--,14
2586,Capital Trust,414,3.3,866,23,--,30
2587,A. O. Smith India Water Products Private Limited,414,3.7,1.3k,21,5,43
2588,Haldia Petrochemicals,414,3.8,1.9k,41,2,46
2589,Nettur Technical Training Foundation,414,3.6,1.2k,27,7,36
2590,Groupon,414,3.2,2.3k,45,4,37
2591,Bmm Ispat,414,3.9,1.5k,35,--,34
2592,Magus Customer Dialog,414,3.7,799,12,--,42
2593,Ensono,414,4.1,2.5k,31,83,22
2594,Orient Bell,414,3.3,1.5k,22,3,37
2595,Paytm Payments Services,415,3.2,836,15,1,1
2596,MyMoneyMantra,413,3.1,1.8k,14,5,14
2597,e2open,413,3.5,3.4k,62,--,34
2598,IMS People,413,3.5,2.2k,43,--,37
2599,India Nippon Electricals,413,3.8,1.6k,23,8,55
2600,State Street Bank,413,3.5,3k,18,--,11
2601,Spice Money,412,4.1,1.5k,35,2,23
2602,TTK Healthcare,412,4.1,1.3k,18,11,53
2603,International Automotive Components,412,3.9,2k,25,--,25
2604,Havmor Ice Cream,412,4.1,1.3k,30,--,44
2605,Aka Logistics,412,3.2,1.4k,37,2,27
2606,Silver Touch Technologies,412,3.1,2.5k,33,21,9
2607,Carrier Midea,411,3.6,1.7k,19,--,22
2608,Aizant Drug Research Solutions,411,3.9,1.3k,19,8,29
2609,Prolifics Corporation,411,3.6,2.4k,64,29,25
2610,Novartis Healthcare,412,4.1,3.2k,22,5,45
2611,Systems Plus,411,4.2,1.5k,32,57,15
2612,FCm Travel Solutions,411,3.2,1.6k,13,3,27
2613,ArisGlobal,411,2.8,2.9k,42,4,10
2614,Indian Institute of Technology Gandhinagar,411,4.1,2.5k,24,--,31
2615,NeoGrowth Credit,411,3.1,1.7k,27,6,26
2616,Imarticus Learning,411,3.9,1.2k,31,18,29
2617,Jyoti CNC Automation,410,4.0,1.4k,25,6,30
2618,Marksans Pharma,410,3.4,1.7k,28,2,18
2619,Qwik Supply Chain,410,3.8,1k,28,--,16
2620,Lotte India Corporation,410,4.0,1.3k,31,30,33
2621,Jyoti CNC Automation,410,4.0,1.4k,25,6,30
2622,Imarticus Learning,411,3.9,1.2k,31,18,29
2623,Qwik Supply Chain,410,3.8,1k,28,--,16
2624,TCL,410,4.1,2k,45,--,24
2625,Marksans Pharma,410,3.4,1.7k,28,2,18
2626,Buhler,409,3.8,1.8k,33,--,37
2627,Pon Pure Chemical,409,3.5,1.4k,24,29,31
2628,DataMetica,409,3.2,2.8k,49,21,20
2629,Astra Microwave Products,409,3.9,2.1k,32,6,27
2630,Bangalore International Airport,409,4.3,1.5k,36,11,36
2631,CogentHubCX.AI,409,3.3,814,34,61,18
2632,Recpdcl.ltd,408,4.0,785,17,--,44
2633,Nidec Corporation,408,3.6,1.6k,26,2,37
2634,Win Medicare,408,4.2,960,24,--,33
2635,PC Jewellers,408,3.8,949,24,4,30
2636,Aramex,407,3.3,1.2k,26,1,49
2637,Fortis Escorts Hospital,407,4.3,945,21,--,33
2638,Roca Bathroom Products,407,3.7,1.4k,23,--,39
2639,Apex Laboratories,407,3.9,1.8k,24,1,32
2640,Hero Housing Finance,407,3.8,1.5k,23,11,10
2641,Vision India Services,407,3.8,1.4k,42,--,22
2642,Essar Group,407,3.7,1.8k,33,1,49
2643,Larsen & Toubro Group,407,4.1,1k,96,--,48
2644,Uniparts Group,407,3.5,1.5k,21,3,29
2645,Axis Finance,408,3.7,2k,24,222,16
2646,Metrochem Api,407,3.1,1.9k,32,4,33
2647,Al Turki Enterprises,406,3.5,966,16,--,49
2648,Thrillophilia,406,3.6,881,37,19,27
2649,Odessa,406,3.7,2.4k,46,--,52
2650,L&T Heavy Engineering,406,3.8,805,31,--,32
2651,HealthKart,406,3.8,2k,30,25,37
2652,Indus Net Technologies,406,3.1,2k,35,--,20
2653,Bonace Engineers,406,4.0,1.2k,35,--,27
2654,Venus Remedies,406,4.2,1k,42,37,87
2655,Skillmine Technology Consulting,406,3.9,1.5k,45,2,15
2656,Desun Hospital & Heart Institute,406,3.8,1k,28,9,22
2657,Saama Technologies,405,3.7,3.6k,60,21,44
2658,ABC Consultants,405,3.9,26.1k,240,1,23
2659,Roop Automotives,405,4.2,1.3k,30,--,45
2660,Indian Space Research Organisation,405,4.6,1.3k,24,--,38
2661,Echobooom Management & Entrepreneurial Solutions,405,3.7,472,106,62,187
2662,Schoolnet India,408,4.0,1.1k,23,15,56
2663,Shyam Sel & Power,405,3.7,1.4k,57,--,24
2664,SHARE Microfin,404,4.2,565,22,--,40
2665,Virchow Biotech,404,3.4,1.7k,26,--,35
2666,Oberoi Realty,404,4.2,2k,21,15,37
2667,Sagar Cements,404,4.3,1.3k,38,--,26
2668,Zealous Services,404,2.7,1.1k,22,--,50
2669,Tutopia,404,4.5,401,216,1,2
2670,myGate,403,2.9,2.3k,31,4,22
2671,Onsitego,403,3.8,1.3k,19,42,30
2672,Shiprocket Private Limited,403,3.4,2.7k,58,28,17
2673,GRT Jewellers,403,4.1,1.4k,30,6,18
2674,P.D. Hinduja National Hospital and Medical Research Centre,403,3.8,2.4k,28,20,43
2675,ITC Limited - Paperboards Specialty Papers Division,402,3.9,1.5k,18,--,38
2676,Ashiana Housing,402,4.0,1.5k,33,26,46
2677,Global Indian International School,402,4.2,1k,19,124,53
2678,Franchise India Brands,402,3.2,1.4k,42,7,9
2679,Gujarat Ambuja Exports,402,3.4,1.4k,23,--,24
2680,Global Indian International School,402,4.2,1k,19,124,53
2681,Eversendai,401,3.6,1.5k,32,1,42
2682,RCM,390,4.2,642,53,1,7
2683,Pearson Education India,401,3.9,1.7k,9,68,50
2684,ICFAI University,401,3.6,861,23,--,45
2685,Penna Cement Industries,401,4.1,1.6k,13,--,32
2686,Invensis Technologies,401,3.6,1.9k,33,5,18
2687,Accel Frontline,400,4.3,753,7,--,44
2688,Owens Corning,401,3.6,1.8k,20,1,38
2689,Viva Composite Panel,400,4.5,578,93,30,8
2690,Motilal Oswal Private Wealth Management,411,4.5,270,83,14,2
2691,Oda Class,398,3.0,658,28,--,7
2692,Hexagon Nutrition,399,4.1,1k,17,9,136
2693,Samsung SDS,399,3.0,2.7k,30,--,19
2694,Universal Corporation,399,3.7,1.3k,22,--,21
2695,Raptakos Brett and Company,399,3.4,1.4k,23,7,25
2696,Venkateshwara Hatcheries,399,3.8,1.5k,11,--,33
2697,Kanpur Fertilizers & Chemicals,399,3.6,1.2k,35,--,17
2698,Rama Medical College Hospital & Research Centre,400,3.9,1.2k,39,--,47
2699,V-Xpress,398,3.9,1.1k,22,--,32
2700,Stanley Black & Decker,398,3.7,1.8k,28,15,29
2701,Gravita,398,4.4,1.1k,63,23,31
2702,Ipsos,398,3.2,2.4k,42,11,22
2703,Gtpl Hathway,398,3.9,1.8k,28,20,21
2704,V-Xpress,398,3.9,1.1k,22,--,32
2705,Himatsingka Seide,398,3.5,1.5k,29,2,35
2706,Core Integra Consulting Services,398,3.5,1.2k,23,--,24
2707,ANR Software Private Limited,397,4.1,1.1k,36,16,28
2708,Piramal Swasthya,397,4.0,969,21,13,36
2709,Equifax,398,3.8,2.3k,59,61,10
2710,Uplers,397,3.8,1.6k,45,1,109
2711,Welspun Flooring,397,3.8,1.2k,21,--,26
2712,Karvy DigiKonnect,396,3.1,1.3k,7,--,29
2713,Ess Kay Fincorp,396,4.1,965,13,5,43
2714,Copeland,397,3.9,2.2k,25,89,1
2715,Connectwise India,396,3.4,2.8k,60,3,40
2716,ClearTax,396,3.0,2.1k,50,20,19
2717,V-bazaar Retail,396,4.0,916,34,--,31
2718,Greet Technologies,396,2.6,1.2k,38,--,30
2719,Accelya Solutions India Limited,396,3.4,2.6k,51,40,30
2720,ClearTax,396,3.0,2.1k,50,20,19
2721,GE Vernova T&D India,396,4.1,1.6k,9,--,42
2722,Greet Technologies,396,2.6,1.2k,38,--,30
2723,HYT Engineering Company Pvt Ltd,396,3.3,1.4k,37,16,30
2724,Azentio,395,3.1,3.6k,47,9,9
2725,Etech Global Services,395,3.6,1.7k,44,33,43
2726,M Baazar,404,3.9,869,33,1,7
2727,Broadcom,395,3.3,3k,44,18,36
2728,STUDDS Accessories Limited,395,3.9,1.2k,58,--,28
2729,Starbucks,395,4.1,1.1k,37,--,38
2730,Amri Hospital,395,4.0,1.2k,27,--,37
2731,Indigo Paints,395,3.8,1.4k,29,--,15
2732,BPTP,395,4.1,1.3k,27,11,44
2733,Federal Mogul Goetze,394,4.0,1.3k,17,--,54
2734,Sunstone,394,3.7,1.6k,26,45,25
2735,IDS Infotech,394,2.9,1.4k,42,7,31
2736,National Fertilizers,394,4.4,1.1k,29,--,43
2737,Manhattan Associates,394,3.4,3.5k,43,5,40
2738,Scientific Publishing Services,394,3.7,1.4k,18,--,46
2739,Munjal Showa,394,3.2,1.2k,19,--,37
2740,Bses Yamuna Power,394,3.7,1.4k,24,--,25
2741,Kailash Hospital,394,3.8,1k,22,61,22
2742,PGP Glass,402,4.0,1.3k,35,10,16
2743,Gold Plus Glass,393,3.5,1.4k,21,6,54
2744,Jubilant Biosys,393,3.6,1.9k,42,41,31
2745,Supertech,393,4.0,1.6k,18,--,35
2746,Merck,393,4.1,2.5k,20,1,37
2747,Indian Overseas Bank,393,3.3,1k,17,--,25
2748,SML Isuzu,393,4.2,1.4k,28,6,33
2749,Enphase Energy,393,2.7,2.9k,56,23,18
2750,Daimler Truck,393,3.7,2.7k,41,--,1
2751,VRB Consumer Products Private Limited,393,4.2,1.2k,23,18,33
2752,Hanon Systems,392,4.0,1.6k,16,--,50
2753,Tirumala Milk Products,392,4.2,1.1k,33,2,38
2754,House of EdTech,391,4.2,168,82,22,1
2755,American Axle & Manufacturing,392,4.3,1.5k,24,--,38
2756,Mahindra Last Mile Mobility,392,3.7,1.1k,22,--,1
2757,RDC Concrete (India),392,4.0,1.2k,38,3,34
2758,Kcc Buildcon,392,3.9,1.4k,32,3,31
2759,Nowfloats Technologies,391,3.2,1.1k,21,--,62
2760,Flyjac Logistics,391,4.0,1.3k,8,--,18
2761,Mymd Healthcare,391,4.0,383,26,1,1
2762,Christian Medical College,391,4.1,1.2k,13,5,29
2763,The Phoenix Mills,391,3.8,1.8k,25,10,25
2764,SirionLabs,392,3.7,1.8k,29,17,43
2765,Nowfloats Technologies,391,3.2,1.1k,21,--,62
2766,Willis Towers Watson,391,3.7,7.6k,117,45,104
2767,NCSI Technologies Pvt Ltd,391,3.7,1.7k,62,8,17
2768,Bharat Aluminium Company (BALCO),390,4.1,1.6k,35,--,44
2769,SKH Y-TEC,392,3.9,1.3k,31,--,22
2770,Transact Global,390,4.7,411,95,17,13
2771,MRF Vapocure Paints,390,4.0,1.2k,31,--,16
2772,Mantra Properties,390,4.3,895,39,16,15
2773,AccorHotels,389,4.3,1.2k,22,--,50
2774,Icertis,389,3.2,3.2k,55,38,49
2775,eNoah iSolution,389,3.8,2.2k,33,23,20
2776,Balaji Wafers,389,4.4,1.1k,31,8,20
2777,Hajee A P Bava Construction,390,3.8,944,14,1,26
2778,Glaze Trading India,388,4.3,900,17,--,52
2779,JBS Enterprises,388,3.1,1k,27,5,40
2780,Park Hospital,388,3.7,1.3k,26,33,12
2781,Motherhood Hospital,388,3.6,1.7k,21,276,15
2782,D.p. Jain & Co. Infrastructure Pvt .,388,3.1,1.3k,30,6,27
2783,TVS Mobility,388,4.0,1.4k,35,2,12
2784,Tekion,388,2.9,4.7k,110,79,19
2785,Vidal Health Tpa,387,3.4,1.2k,29,8,35
2786,Publicis,387,3.6,4k,57,--,27
2787,Aeries Technology,387,3.2,2.4k,31,57,32
2788,Indiafilings,387,3.9,1.1k,141,2,6
2789,Cheil India,387,2.9,2k,19,6,48
2790,CES,387,3.4,2.5k,57,9,35
2791,Shree Baidyanath Ayurved Bhawan,386,3.9,1.2k,34,6,21
2792,Hindustan Foods,386,3.6,1.7k,31,3,22
2793,PowerSchool India,386,3.4,2.8k,46,8,29
2794,XL Health,386,4.2,1.5k,23,--,52
2795,Triumphant Institute of Management Education,385,3.6,1.3k,16,63,31
2796,Sleek International,385,3.5,1.2k,31,--,43
2797,Nyati Group,385,4.1,1.4k,37,1,25
2798,Moolchand Hospital,385,4.2,749,21,25,13
2799,SPRINKLR,384,2.9,3.8k,113,49,29
2800,ABM Knowledgeware,384,3.7,1.5k,33,15,32
2801,Konecranes,384,3.9,1.8k,23,10,52
2802,VIT University,384,4.0,1.5k,32,78,27
2803,Burns & McDonnell,384,4.1,2.2k,52,14,31
2804,Arjas Steel,384,3.9,1.3k,24,1,34
2805,Healthcare At Home,384,3.7,1.3k,29,13,30
2806,Hexagon Capability Center,384,4.0,2.8k,42,20,59
2807,Mettler-Toledo,384,3.5,2k,27,3,39
2808,Sarvodaya Hospital,384,3.7,1.4k,20,47,24
2809,Nissan,383,3.5,1.8k,28,6,29
2810,GSP Crop Science,383,4.0,1.4k,29,13,26
2811,Alfanar,383,4.0,922,24,13,58
2812,Dixit Infotech Services,383,3.7,1.4k,26,26,19
2813,Joyalukkas,383,3.8,944,39,4,25
2814,Kaddacon Systems,382,4.6,--,18,--,--
2815,CEVA Logistics,382,3.8,1.4k,13,--,28
2816,ZUCOL Services,382,3.7,722,90,18,9
2817,Netlink Software,382,3.2,2.1k,23,20,40
2818,Kennametal,382,3.5,1.9k,29,--,37
2819,GMR Hyderabad International Airport,382,4.0,1.3k,20,--,49
2820,Cooper Corporation,383,4.0,1.4k,51,--,31
2821,Jamna Auto Industries,382,3.8,1.6k,20,1,38
2822,Dynacons Systems & Solutions,382,3.7,1.3k,26,31,18
2823,Nuziveedu Seeds,382,3.9,1.2k,33,--,30
2824,Coronis Health,382,3.4,1.2k,28,4,10
2825,Adroit Synergies,382,3.3,1.2k,44,10,16
2826,Zaalima Development,390,4.2,10,135,--,1
2827,Examity,382,3.3,1.8k,35,2,31
2828,Group Bayport,382,4.1,1k,36,15,15
2829,Sangeetha Mobile,381,3.5,1.5k,20,5,29
2830,Vectus Industries,381,4.2,1.3k,19,--,57
2831,Dimension Data,381,4.5,1.3k,8,--,41
2832,Workcell Solutions,381,3.6,1.2k,27,1,2
2833,Bosch Rexroth India,382,3.9,1.5k,20,--,40
2834,The Hans Foundation,381,4.2,721,38,55,2
2835,Sumitomo Chemical,381,4.0,1.5k,20,2,23
2836,Srei Equipment Finance,381,4.2,1k,11,--,50
2837,Grey Orange,381,3.0,2.2k,47,12,49
2838,PropTiger.com,381,3.8,1.3k,24,--,70
2839,CANTABIL RETAIL INDIA,381,4.0,1.1k,26,5,13
2840,Air Liquide,381,3.7,1.6k,31,6,33
2841,BCH Electric,381,4.0,1.4k,22,21,31
2842,Kuehne + Nagel,381,3.6,1.6k,25,1,41
2843,Parksons Packaging,381,4.1,1.4k,17,7,28
2844,Dorf Ketal Chemicals,381,4.0,1.8k,23,--,27
2845,Webkul Software,381,3.8,1.4k,80,12,33
2846,SRM University,380,3.5,1.5k,29,3,33
2847,Repco Home Finance,380,3.5,1k,19,5,21
2848,World Vision,380,4.2,711,21,--,31
2849,Xdbs,380,2.8,1.6k,38,--,42
2850,Merck Life Science,380,4.0,2.7k,22,1,29
2851,Agilent Technologies,379,4.0,2k,22,65,53
2852,Evoke Technologies,379,3.6,2.8k,29,23,17
2853,Jeeves Consumer Services,379,3.6,849,34,7,35
2854,Mindlance,379,3.6,1.5k,25,--,30
2855,Mintifi,379,3.5,1.1k,22,1,2
2856,Bharat Rasayan,378,4.0,1.6k,34,1,40
2857,AgreeYa Solutions,378,3.3,2.4k,25,34,15
2858,Bajaj Auto Credit,378,4.0,818,12,--,--
2859,S2 Infotech,378,3.5,1.5k,13,--,19
2860,Bajaj Auto Credit,378,4.0,818,12,--,--
2861,AgreeYa Solutions,378,3.3,2.4k,25,34,15
2862,S2 Infotech,378,3.5,1.5k,13,--,19
2863,S. M. Auto Engineering,378,3.4,1.4k,25,1,12
2864,Rosmerta Technologies,378,3.4,1.7k,31,2,14
2865,Grand Hyatt,378,4.2,915,11,--,51
2866,Alfa Laval,378,3.9,1.8k,35,15,44
2867,LeadSquared,378,2.7,3k,68,17,17
2868,Thyssenkrupp Industrial Solutions,377,4.1,1.4k,22,--,28
2869,Indraprastha Gas,377,3.8,1.7k,21,--,32
2870,AQuity Solutions India,377,3.7,2k,40,--,24
2871,Eisai Pharmaceuticals,377,4.0,1.2k,23,1,49
2872,Auro Realty Private Limited,376,4.3,1.5k,27,7,12
2873,Karamtara Engineering Limited,376,3.7,1.4k,41,5,23
2874,Call 2 Connect,376,2.6,991,19,1,14
2875,Wellness Forever Lifestyle Chemist,376,3.9,1.1k,28,--,13
2876,CMA CGM Global Business Services,376,4.0,1.9k,30,--,4
