,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
205,Viatris,3.8k,4.1,14.2k,165,6,500
206,PNB MetLife,3.8k,3.3,8.2k,193,20,217
207,PVR INOX,3.8k,3.9,9.4k,214,19,242
208,Aditya Birla Capital,3.7k,3.8,14.1k,259,1,212
209,Escorts Kubota Limited,3.7k,4.1,13.3k,296,4,255
210,Maersk,3.7k,4.0,19k,249,55,421
211,Synechron,3.7k,3.4,28.3k,406,72,239
212,Birlasoft,3.7k,3.5,30k,315,472,235
213,KPIT Technologies,3.7k,2.9,23.2k,344,50,290
214,Glenmark Pharmaceuticals,3.6k,3.8,12.2k,180,127,317
215,JK Cement,3.6k,4.0,10.1k,335,1,257
216,Dabur,3.6k,3.8,8.8k,331,17,276
217,Sodexo,3.6k,4.0,9.8k,203,1.2k,364
218,Kotak Mahindra Life Insurance Company,3.6k,3.5,12.6k,261,150,256
219,Bharat Electronics,3.6k,4.2,12.5k,245,1,312
220,Godrej & Boyce Manufacturing,3.6k,3.9,15k,227,47,412
221,Cogent E Services,3.6k,3.1,10.3k,294,3,220
222,Samvardhana Motherson Group,3.6k,3.7,12.2k,259,13,403
223,Abbott,3.6k,4.1,12k,182,228,361
224,Cloudnine Hospital,3.6k,4.4,3k,1.1k,23,78
225,Ipca Laboratories,3.6k,3.8,11.5k,207,55,245
226,Aarti Industries,3.6k,4.1,14.4k,331,25,351
227,PhonePe,3.5k,4.1,13k,416,49,183
228,Reliance Projects & Property Management Services,3.5k,4.0,7.3k,210,--,20
229,Indian Oil Corporation,3.5k,4.3,7.8k,236,--,291
230,Reliance Digital,3.5k,4.2,8.2k,169,--,241
231,MRF Tyres,3.5k,3.6,12.7k,374,25,345
232,Alkem Laboratories,3.5k,3.9,9.9k,196,29,328
233,Johnson Controls,3.5k,3.5,17.6k,303,4,266
234,IGT Solutions,3.5k,3.2,13.7k,255,147,213
235,UNO Minda,3.5k,3.9,11.3k,257,17,279
236,"NTT DATA, Inc.",3.5k,3.9,21.2k,153,90,624
237,Honda Motorcycle & Scooter,3.5k,4.1,11.1k,203,1,348
238,ArcelorMittal Nippon Steel,3.4k,4.1,11.9k,274,6,111
239,Blinkit,3.4k,3.8,12.9k,337,--,202
240,[24]7.ai,3.4k,3.4,11.6k,186,102,406
241,Vishal Mega Mart,3.4k,3.8,6.2k,210,2,273
242,Hindustan Coca Cola Beverages,3.4k,4.0,7.7k,179,52,377
243,UBS,3.4k,3.8,31.8k,372,--,117
244,DTDC Express,3.4k,3.7,8.8k,195,39,263
245,IndusInd Nippon Life Insurance,3.4k,3.4,2k,171,2,229
246,Bajaj General Insurance Limited,3.4k,3.7,10.8k,139,189,236
247,Ford Motor,3.3k,4.2,15.3k,175,3,398
248,ABB,3.3k,4.1,17.9k,291,4.2k,346
249,Ceat Tyres,3.3k,3.9,12.9k,212,9,346
250,Barclays,3.3k,3.7,32.1k,314,--,253
251,HARMAN,3.3k,3.8,24.2k,292,100,100
252,RSPL Group,3.3k,4.0,9.6k,257,24,293
253,AGS Health,3.3k,4.0,14.5k,211,47,272
254,NatWest Group,3.3k,4.0,21k,234,53,363
255,TVS Credit Services Ltd,3.3k,4.2,7.1k,157,40,194
256,Niva Bupa Health Insurance Company,3.2k,4.0,8.4k,378,99,119
257,Croma,3.2k,3.8,9.1k,185,25,186
258,InterGlobe Aviation,3.2k,3.5,13.5k,370,68,315
259,Alstom Transportation,3.2k,3.7,15.1k,278,383,174
260,Conduent,3.2k,3.4,16.9k,233,377,366
261,Indian Air Force,3.2k,4.5,5.4k,82,--,354
262,Tata Technologies,3.2k,3.4,22.9k,308,157,308
263,Tata AIG,3.2k,4.0,11.3k,193,104,245
264,GeBBS Healthcare Solutions,3.2k,3.7,11.3k,180,76,291
265,Allcargo Logistics,3.2k,3.8,7.1k,138,43,335
